YEAR,CONTACTS,HUBSPOT_CAMPAIGN_NAME
2022,146,spanish - es
2022,129,dp:remarketing
2022,108,dp:smart campaign
2022,68,ireland - en - gnrl terms
2022,66,ireland - es
2022,44,intrnl-discovery-leads
2022,43,dp:influence
2022,29,france - fr
2022,27,german - de
2022,27,spanish - en
2022,22,irl-perfom-max
2022,12,ww:remarketing
2022,8,dublin - dynamic search
2022,7,ireland - en - exam courses
2022,1,ireland - it
2022,1,italy - en
2023,2081,spanish - es
2023,845,dp:smart campaign
2023,634,dp:remarketing
2023,344,ireland - es
2023,329,ireland - en - gnrl terms
2023,276,intrnl-discovery-leads
2023,270,irl-perfom-max
2023,256,france - fr
2023,178,dp:influence
2023,172,spain & latam - es - leads
2023,158,spanish - en
2023,70,ww:remarketing
2023,68,dublin - dynamic search
2023,62,german - de
2023,37,dublin - en - gnrl terms
2023,35,02. search - ireland - es
2023,28,Auto-tagged PPC
2023,20,ireland - en - gnrl terms "ireland/dublin"
2023,14,ireland - en - exam courses
2023,14,ireland - it
2023,8,brazil - por - gnrl terms
2023,7,04. display - remarketing
2023,5,remarketing (search)
2023,5,spain & latam - en - sales
2023,4,ireland - en - display
2023,4,italy - it
2023,3,02. search - italy - it
2023,2,italy - en
2023,2,02. search - dublin - dsas - dynamic search
2023,1,04. display - smart targeting: intl-dp
2023,1,04. display - awareness: irl - en - dp - 23
2023,1,04. display - awareness: intl - in-market - dp
2023,1,02. search - france - fr
2024,860,04. display - remarketing
2024,800,spain & latam - es - leads
2024,563,irl-perfom-max
2024,475,02. search - ireland - es
2024,321,dublin - en - gnrl terms
2024,240,04. display - smart targeting: intl-dp
2024,156,performance max (new) - ireland - es
2024,112,02. search - dublin - dsas - dynamic search
2024,89,brazil - por - gnrl terms
2024,63,1. search - broad - bfcrs2024
2024,61,intrnl-discovery-leads
2024,60,Auto-tagged PPC
2024,54,spain & latam - en - sales
2024,52,2. display - inmarket - brazil
2024,51,ireland - en - gnrl terms "ireland/dublin"
2024,22,gb
2024,20,04. display - awareness: intl - in-market - dp
2024,11,02. search - france - fr
2024,6,remarketing (search)
2024,6,02. search - italy - en
2024,3,german - de
2024,3,02. search - italy - it
2024,1,ireland - es
2024,1,client_share
2024,1,ireland - en - exam courses
2024,1,ireland - en - gnrl terms
2025,456,17440682130
2025,198,21010812408
2025,150,239036407
2025,96,2dsply-rmrktng--obs placmnts
2025,78,3pmax
2025,56,22097290049
2025,49,Auto-tagged PPC
2025,47,3.pmax(new)-ireland_es
2025,42,149491087
2025,37,04. display - remarketing
2025,33,32907697
2025,32,35203507
2025,31,gb
2025,28,22099718382
2025,27,1. search - en countries
2025,23,1_search.intl.en
2025,21,02. search - ireland - es
2025,19,dublin - en - gnrl terms
2025,19,irl-perfom-max
2025,18,{campaignname}
2025,16,1_search.spain-latam_es
2025,14,1.search-ireland-gnrlterms "ireland/dublin"_en
2025,12,35127547
2025,9,searchdublin-gnrlterms_en
2025,7,02. search - dublin - dsas - dynamic search
2025,7,1.search-spain_es
2025,7,performance max (new) - ireland - es
2025,5,1_searchdublin.dynamic
2025,5,ireland - en - gnrl terms "ireland/dublin"
2025,5,intrnl-discovery-leads
2025,4,695837889
2025,3,2. display - inmarket - brazil
2025,3,1. search - es countries
2025,3,brazil - por - gnrl terms
2025,2,google
2025,2,dgen-int-dscvry-leads
2025,1,test123
2025,1,gnrltermsen
2025,1,17486528534